sku,category,draft_name,price_inr,specs,image_file,source_image,image_quality,needs,notes
DW-LOU-04,loungers,Lounger Design 04,18000,Chesterfield tufted chaise (dup of 088 image),lounger-04.jpg,00000090-PHOTO-2026-07-31-21-12-50.jpg,LOWRES,"name, size, colours, material, warranty",Cream; same photo as 088
DW-LOU-05,loungers,Lounger Design 05,20000,Roll-arm storage chaise,lounger-05.jpg,00000092-PHOTO-2026-07-31-21-13-01.jpg,LOWRES,"name, size, colours, material, warranty",Mauve/pink
DW-LOU-06,loungers,Lounger Design 06,16000,"Modern chaise lounge, bolster",lounger-06.jpg,00000094-PHOTO-2026-07-31-21-13-21.jpg,LOWRES,"name, size, colours, material, warranty",Teal/green
DW-LOU-07,loungers,Lounger Design 07,16000,"Chesterfield chaise, turned legs",lounger-07.jpg,00000096-PHOTO-2026-07-31-21-13-46.jpg,LOWRES,"name, size, colours, material, warranty",Navy velvet
DW-TAB-01,tables,Table Design 01,18000,Sheesham wood center table with shelf,table-01.jpg,00000098-PHOTO-2026-07-31-21-14-05.jpg,WATERMARK,"name, size, colours, material, warranty",'KHATICRAFT' watermark
DW-TAB-02,tables,Table Design 02,5000,Small wooden 4-leg table,table-02.jpg,00000107-PHOTO-2026-08-01-14-13-21.jpg,LOWRES,"name, size, colours, material, warranty","Plain, radiator scene"
DW-TAB-03,tables,Table Design 03,8000,Carved wood glass-top coffee table,table-03.jpg,00000109-PHOTO-2026-08-01-14-13-39.jpg,LOWRES,"name, size, colours, material, warranty",Ornate carved base
DW-TAB-04,tables,Table Design 04,8000,"Live-edge small coffee table, U legs",table-04.jpg,00000111-PHOTO-2026-08-01-14-14-20.jpg,LOWRES,"name, size, colours, material, warranty",Acacia + black legs
DW-TAB-05,tables,Table Design 05,6000,Carved wood glass-top table frame,table-05.jpg,00000113-PHOTO-2026-08-01-14-14-41.jpg,LOWRES,"name, size, colours, material, warranty",Traditional carved
DW-TAB-06,tables,Table Design 06,8000,Sheesham slatted coffee table with shelf,table-06.jpg,00000115-PHOTO-2026-08-01-14-15-00.jpg,OK,"name, size, colours, material, warranty",Honey sheesham
